                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1089,                 2.7002,                 1.4198,                0.53461,                0.51504,                0.46645,                0.30407,                 1.1309,                 2.3711,                 1.5554,              0.0033293,              0.0033293,              0.0033293
                      2,                 1.1533,                 2.0149,                 1.4323,                0.62103,                0.56005,                0.55519,                0.34936,                 1.2264,                 1.8837,                 1.6113,              0.0065967,              0.0065967,              0.0065967
                      3,                 1.2469,                 1.9544,                   1.51,                0.40952,                0.43172,                0.35216,                0.20304,                 1.4075,                 2.8112,                 1.9207,               0.009798,               0.009798,               0.009798
                      4,                 1.2618,                 1.8929,                 1.5227,                0.58069,                0.49438,                0.51521,                0.31784,                 1.3344,                 1.7621,                 1.7538,               0.009703,               0.009703,               0.009703
                      5,                 1.2134,                 1.7057,                 1.4879,                0.63497,                0.54699,                0.56556,                0.36822,                 1.2166,                 1.5978,                  1.651,               0.009604,               0.009604,               0.009604
                      6,                 1.1755,                 1.6017,                 1.4594,                0.67955,                0.58216,                0.61214,                0.40667,                 1.1554,                 1.5939,                 1.5719,               0.009505,               0.009505,               0.009505
                      7,                  1.157,                 1.5107,                 1.4373,                0.71753,                0.57543,                0.63967,                 0.4384,                 1.1326,                 1.3489,                 1.5853,               0.009406,               0.009406,               0.009406
                      8,                 1.1323,                  1.475,                 1.4358,                0.67504,                0.59369,                0.64155,                0.43238,                  1.075,                 1.3193,                 1.5012,               0.009307,               0.009307,               0.009307
                      9,                 1.1247,                 1.4175,                 1.4221,                0.72712,                0.60985,                0.65371,                 0.4496,                  1.085,                  1.267,                 1.4959,               0.009208,               0.009208,               0.009208
                     10,                 1.1171,                 1.3685,                 1.4109,                0.71836,                0.63758,                0.68228,                0.47146,                 1.0561,                 1.2419,                 1.4832,               0.009109,               0.009109,               0.009109
                     11,                 1.0758,                 1.2924,                 1.3822,                0.71467,                0.64537,                0.69721,                 0.4891,                 1.0658,                 1.1542,                 1.4969,                0.00901,                0.00901,                0.00901
                     12,                 1.0815,                 1.2958,                 1.3884,                0.73747,                0.63959,                0.70144,                 0.4961,                 1.0447,                 1.1769,                 1.4439,               0.008911,               0.008911,               0.008911
                     13,                 1.0594,                 1.2751,                 1.3683,                0.72475,                0.66736,                0.70795,                0.49966,                 1.0416,                 1.1295,                 1.4606,               0.008812,               0.008812,               0.008812
                     14,                 1.0403,                 1.2197,                 1.3573,                0.74621,                0.65538,                0.72099,                  0.515,                0.99968,                 1.0999,                 1.4086,               0.008713,               0.008713,               0.008713
                     15,                 1.0243,                 1.1983,                 1.3534,                0.73129,                0.64164,                0.71971,                0.51445,                 1.0313,                 1.0738,                 1.4362,               0.008614,               0.008614,               0.008614
                     16,                 1.0449,                 1.2013,                  1.355,                 0.7589,                0.67084,                0.75351,                0.52953,                0.99154,                 1.0394,                 1.4095,               0.008515,               0.008515,               0.008515
                     17,                 1.0381,                 1.1765,                 1.3559,                0.75437,                0.67869,                0.74503,                0.52442,                0.99536,                 1.0289,                 1.3992,               0.008416,               0.008416,               0.008416
                     18,                 1.0161,                 1.1426,                 1.3403,                0.76708,                0.65861,                 0.7457,                0.54189,                0.97171,                  1.015,                 1.3833,               0.008317,               0.008317,               0.008317
                     19,                 1.0157,                  1.153,                 1.3346,                0.72364,                0.68707,                0.72861,                0.52594,                0.98314,                0.98919,                 1.3882,               0.008218,               0.008218,               0.008218
                     20,                0.98846,                 1.1151,                 1.3182,                0.79024,                 0.7174,                0.78555,                  0.572,                0.96043,                0.94997,                 1.3638,               0.008119,               0.008119,               0.008119
                     21,                0.99425,                 1.1049,                 1.3267,                 0.7782,                0.69247,                0.77112,                 0.5652,                0.95569,                0.94992,                 1.3667,                0.00802,                0.00802,                0.00802
                     22,                0.98152,                 1.0841,                 1.3053,                0.77129,                0.70289,                0.78091,                0.57486,                 0.9267,                0.94134,                 1.3373,               0.007921,               0.007921,               0.007921
                     23,                0.96738,                 1.0702,                 1.3048,                0.79402,                0.69147,                0.77687,                0.56115,                0.95422,                0.93378,                 1.3755,               0.007822,               0.007822,               0.007822
                     24,                0.99169,                 1.0809,                 1.3121,                 0.7835,                0.70538,                 0.7817,                0.57299,                0.92968,                0.94744,                 1.3384,               0.007723,               0.007723,               0.007723
                     25,                0.96444,                 1.0479,                 1.2929,                0.77162,                0.72713,                0.78172,                0.57746,                0.91426,                0.88109,                 1.3206,               0.007624,               0.007624,               0.007624
                     26,                0.96829,                 1.0528,                 1.2954,                0.76403,                0.72782,                0.79664,                 0.5905,                0.90522,                0.91657,                 1.3161,               0.007525,               0.007525,               0.007525
                     27,                0.95514,                 1.0093,                 1.2788,                0.79188,                0.73059,                0.80314,                 0.5912,                0.92697,                0.89459,                 1.3331,               0.007426,               0.007426,               0.007426
                     28,                0.95058,                 1.0137,                  1.294,                0.77915,                0.73386,                0.80314,                0.59197,                0.90324,                0.88393,                 1.3164,               0.007327,               0.007327,               0.007327
                     29,                0.92355,                0.99502,                 1.2776,                0.74317,                0.73911,                0.78318,                0.58555,                0.89975,                0.87954,                 1.3103,               0.007228,               0.007228,               0.007228
                     30,                  0.953,                 1.0039,                 1.2883,                 0.7582,                0.72496,                0.77775,                0.56935,                 0.9059,                0.87412,                 1.3141,               0.007129,               0.007129,               0.007129
                     31,                0.92154,                0.97956,                  1.274,                0.79775,                0.72231,                0.80601,                0.59951,                0.90461,                0.86576,                 1.3197,                0.00703,                0.00703,                0.00703
                     32,                0.91588,                0.97321,                 1.2664,                0.78331,                0.75411,                0.81385,                0.60427,                0.89341,                0.84415,                 1.3063,               0.006931,               0.006931,               0.006931
                     33,                0.93048,                0.97525,                  1.277,                0.79258,                0.73694,                0.80655,                0.59894,                 0.8916,                0.84055,                 1.3051,               0.006832,               0.006832,               0.006832
                     34,                0.94538,                0.97386,                 1.2791,                0.80744,                0.72795,                0.81625,                0.61158,                0.87995,                0.82965,                  1.293,               0.006733,               0.006733,               0.006733
                     35,                0.92092,                0.94369,                 1.2706,                0.79903,                0.75935,                0.82411,                0.61562,                0.86817,                0.82572,                 1.2814,               0.006634,               0.006634,               0.006634
                     36,                0.94207,                0.95897,                 1.2804,                0.81782,                0.75981,                0.82712,                 0.6143,                 0.8692,                 0.8151,                 1.2828,               0.006535,               0.006535,               0.006535
                     37,                0.91014,                0.92641,                 1.2544,                0.82098,                0.75561,                0.82742,                0.61486,                0.86473,                0.80263,                 1.2782,               0.006436,               0.006436,               0.006436
                     38,                0.90416,                0.92096,                 1.2582,                  0.822,                0.76465,                0.83539,                0.62319,                0.86608,                0.79835,                 1.2723,               0.006337,               0.006337,               0.006337
                     39,                 0.9141,                0.92614,                 1.2632,                0.82792,                0.76481,                0.83078,                0.62118,                0.85687,                0.79609,                 1.2688,               0.006238,               0.006238,               0.006238
                     40,                0.91071,                0.92276,                 1.2469,                0.80069,                0.77324,                0.82769,                0.62111,                0.85759,                0.79681,                 1.2716,               0.006139,               0.006139,               0.006139
                     41,                0.89067,                0.90432,                 1.2447,                0.81456,                0.76945,                  0.837,                0.62436,                0.85429,                0.79516,                 1.2661,                0.00604,                0.00604,                0.00604
                     42,                0.88993,                0.90394,                 1.2425,                0.81928,                  0.761,                0.83004,                0.62545,                0.84436,                0.79892,                 1.2568,               0.005941,               0.005941,               0.005941
                     43,                0.88773,                0.90881,                 1.2508,                0.81645,                0.77682,                0.83678,                0.63116,                0.84167,                0.78141,                 1.2575,               0.005842,               0.005842,               0.005842
                     44,                0.90136,                0.89156,                 1.2485,                0.81743,                0.77409,                0.83829,                0.64001,                0.84097,                0.77794,                 1.2651,               0.005743,               0.005743,               0.005743
                     45,                 0.8984,                0.90344,                 1.2439,                0.82543,                0.77096,                0.83794,                0.63463,                0.84176,                0.77781,                 1.2567,               0.005644,               0.005644,               0.005644
                     46,                0.87807,                0.88909,                 1.2428,                0.80404,                0.78875,                0.84264,                0.63686,                0.84638,                0.77013,                 1.2578,               0.005545,               0.005545,               0.005545
                     47,                0.88589,                0.86138,                 1.2327,                0.83269,                0.76888,                0.84558,                0.63882,                0.83805,                0.77447,                 1.2514,               0.005446,               0.005446,               0.005446
                     48,                0.88054,                0.87134,                 1.2338,                0.79196,                0.79985,                0.84301,                0.63816,                0.83923,                0.76506,                 1.2502,               0.005347,               0.005347,               0.005347
                     49,                0.87168,                0.85729,                  1.231,                0.80912,                0.78734,                0.84497,                0.64002,                0.84092,                0.75137,                 1.2531,               0.005248,               0.005248,               0.005248
                     50,                0.86125,                0.83432,                 1.2222,                0.81732,                0.79289,                0.84871,                0.63928,                0.84371,                0.74624,                 1.2548,               0.005149,               0.005149,               0.005149
                     51,                0.87367,                 0.8552,                 1.2248,                0.82914,                0.78627,                 0.8486,                0.64049,                0.83813,                0.74552,                 1.2481,                0.00505,                0.00505,                0.00505
                     52,                0.87073,                0.83543,                 1.2191,                0.80394,                0.80163,                0.84621,                0.64175,                0.83442,                0.75137,                 1.2443,               0.004951,               0.004951,               0.004951
                     53,                0.83702,                0.82113,                 1.2086,                0.80636,                0.80224,                0.84847,                0.64612,                0.83142,                0.74828,                 1.2429,               0.004852,               0.004852,               0.004852
                     54,                0.85841,                0.82225,                 1.2186,                0.80938,                 0.7974,                0.84867,                0.64591,                 0.8287,                0.74269,                 1.2431,               0.004753,               0.004753,               0.004753
                     55,                0.84491,                0.80991,                 1.2087,                0.81229,                0.79946,                0.84951,                0.64664,                 0.8292,                0.73892,                 1.2453,               0.004654,               0.004654,               0.004654
                     56,                 0.8332,                0.81533,                 1.2044,                0.81777,                 0.7988,                0.84936,                0.64573,                0.82976,                0.73962,                 1.2488,               0.004555,               0.004555,               0.004555
                     57,                0.85741,                 0.8184,                  1.216,                0.82458,                0.79332,                0.85226,                0.65143,                0.82706,                0.73215,                 1.2465,               0.004456,               0.004456,               0.004456
                     58,                0.83378,                0.79956,                 1.2042,                0.81899,                0.79943,                0.85081,                0.65095,                 0.8228,                0.73373,                 1.2413,               0.004357,               0.004357,               0.004357
                     59,                0.84271,                0.81184,                 1.2109,                0.82044,                0.79763,                0.85252,                0.65113,                0.82517,                0.73499,                 1.2447,               0.004258,               0.004258,               0.004258
                     60,                0.84371,                0.78781,                 1.2088,                0.81994,                0.80158,                0.85013,                0.65066,                0.82148,                0.73223,                 1.2408,               0.004159,               0.004159,               0.004159
                     61,                 0.8299,                0.78085,                 1.1983,                 0.8176,                0.80303,                 0.8506,                0.65062,                0.82062,                0.73053,                 1.2384,                0.00406,                0.00406,                0.00406
                     62,                0.84401,                0.78474,                 1.1998,                0.81929,                0.80554,                0.85072,                0.64979,                0.82272,                0.73102,                 1.2406,               0.003961,               0.003961,               0.003961
                     63,                0.82342,                 0.7778,                 1.1961,                0.82773,                0.79587,                0.85068,                0.64942,                 0.8213,                0.72687,                 1.2407,               0.003862,               0.003862,               0.003862
                     64,                0.81083,                0.76182,                 1.1925,                0.83299,                0.79539,                0.85146,                0.64976,                0.82211,                0.72563,                 1.2405,               0.003763,               0.003763,               0.003763
                     65,                0.82811,                0.76302,                 1.1932,                0.83114,                0.79738,                0.85103,                0.64973,                 0.8231,                0.72473,                 1.2418,               0.003664,               0.003664,               0.003664
                     66,                0.82677,                0.76281,                  1.194,                 0.8284,                0.79986,                0.85082,                0.65029,                0.82222,                0.72408,                 1.2418,               0.003565,               0.003565,               0.003565
                     67,                0.81113,                0.76776,                 1.1902,                0.82708,                0.79902,                0.85178,                0.65105,                 0.8202,                0.72496,                 1.2411,               0.003466,               0.003466,               0.003466
                     68,                0.82541,                0.75197,                 1.1909,                0.83319,                0.79603,                0.85261,                0.65212,                0.81937,                 0.7212,                 1.2397,               0.003367,               0.003367,               0.003367
                     69,                0.81238,                0.74772,                  1.185,                0.82871,                0.79774,                0.85345,                0.65153,                0.81843,                0.72077,                 1.2382,               0.003268,               0.003268,               0.003268
                     70,                0.82581,                 0.7565,                 1.1955,                0.83329,                0.79829,                0.85449,                0.65296,                0.81793,                 0.7175,                  1.238,               0.003169,               0.003169,               0.003169
                     71,                0.80823,                0.73918,                 1.1834,                0.84063,                 0.7959,                0.85511,                0.65397,                0.81594,                0.71598,                 1.2366,                0.00307,                0.00307,                0.00307
                     72,                0.80697,                 0.7356,                 1.1791,                0.83696,                0.80134,                0.85513,                0.65435,                0.81571,                0.71553,                 1.2364,               0.002971,               0.002971,               0.002971
                     73,                0.79513,                0.72167,                 1.1728,                0.83573,                0.80187,                0.85466,                0.65335,                0.81378,                0.71583,                 1.2347,               0.002872,               0.002872,               0.002872
                     74,                 0.7923,                0.72655,                 1.1707,                0.83954,                0.79263,                0.85349,                0.65281,                0.81354,                 0.7161,                 1.2348,               0.002773,               0.002773,               0.002773
                     75,                0.78401,                0.70249,                 1.1661,                0.83538,                0.79597,                0.85336,                0.65222,                0.81362,                 0.7187,                  1.235,               0.002674,               0.002674,               0.002674
                     76,                 0.7871,                0.71066,                 1.1723,                0.83743,                0.79716,                0.85358,                0.65257,                0.81273,                0.72002,                 1.2342,               0.002575,               0.002575,               0.002575
                     77,                0.79003,                0.70672,                 1.1693,                0.83023,                0.79873,                0.85316,                0.65294,                 0.8131,                0.72032,                  1.235,               0.002476,               0.002476,               0.002476
                     78,                0.78629,                0.70076,                 1.1705,                0.83817,                 0.7935,                0.85313,                0.65324,                0.81267,                0.71945,                 1.2344,               0.002377,               0.002377,               0.002377
                     79,                0.77491,                0.70353,                 1.1652,                0.83659,                0.79459,                0.85355,                0.65399,                0.81228,                0.71944,                 1.2342,               0.002278,               0.002278,               0.002278
                     80,                0.77563,                0.68488,                 1.1618,                 0.8391,                0.79463,                0.85335,                0.65383,                0.81194,                0.71928,                 1.2336,               0.002179,               0.002179,               0.002179
                     81,                0.78501,                0.69795,                 1.1647,                0.83171,                0.79953,                0.85355,                0.65444,                0.81268,                 0.7187,                 1.2342,                0.00208,                0.00208,                0.00208
                     82,                0.79226,                0.70246,                 1.1675,                0.83438,                0.80049,                0.85319,                0.65435,                0.81262,                0.71913,                 1.2342,               0.001981,               0.001981,               0.001981
                     83,                0.76113,                0.67413,                 1.1589,                0.83052,                0.80268,                0.85318,                0.65388,                0.81258,                0.72008,                 1.2339,               0.001882,               0.001882,               0.001882
                     84,                0.77569,                0.67649,                 1.1599,                0.82709,                0.80603,                0.85341,                 0.6545,                0.81244,                0.71916,                 1.2337,               0.001783,               0.001783,               0.001783
                     85,                0.76346,                0.68339,                 1.1666,                0.83533,                0.79908,                0.85349,                0.65531,                0.81194,                0.71793,                 1.2334,               0.001684,               0.001684,               0.001684
                     86,                0.76376,                0.67202,                 1.1586,                0.83543,                0.79917,                0.85354,                 0.6555,                0.81202,                0.71703,                 1.2338,               0.001585,               0.001585,               0.001585
                     87,                0.74179,                0.65765,                 1.1448,                0.83516,                0.80083,                0.85375,                0.65547,                0.81207,                 0.7172,                 1.2337,               0.001486,               0.001486,               0.001486
                     88,                0.74764,                0.64539,                 1.1418,                0.83509,                0.80136,                0.85424,                0.65553,                0.81206,                0.71661,                 1.2338,               0.001387,               0.001387,               0.001387
                     89,                0.75464,                 0.6614,                 1.1531,                0.82998,                 0.8029,                0.85468,                0.65648,                0.81212,                0.71585,                  1.234,               0.001288,               0.001288,               0.001288
                     90,                0.75665,                0.65793,                 1.1487,                0.82937,                0.80519,                0.85459,                0.65684,                0.81211,                0.71536,                 1.2344,               0.001189,               0.001189,               0.001189
                     91,                0.70274,                0.54057,                 1.1483,                0.83071,                0.80397,                0.85447,                0.65733,                0.81156,                0.71375,                  1.234,                0.00109,                0.00109,                0.00109
                     92,                0.69363,                0.52513,                 1.1457,                0.83446,                0.80095,                0.85451,                0.65762,                 0.8114,                0.71364,                  1.234,               0.000991,               0.000991,               0.000991
                     93,                0.65855,                 0.4934,                 1.1245,                0.83312,                0.80403,                0.85521,                0.65772,                0.81038,                0.71323,                 1.2331,               0.000892,               0.000892,               0.000892
                     94,                0.68899,                0.50875,                  1.143,                0.83322,                 0.8041,                0.85515,                0.65791,                 0.8098,                0.71261,                 1.2328,               0.000793,               0.000793,               0.000793
                     95,                0.66767,                0.49833,                 1.1197,                0.83198,                0.80616,                0.85518,                0.65798,                0.80985,                0.71219,                  1.234,               0.000694,               0.000694,               0.000694
                     96,                0.68168,                0.50241,                 1.1204,                 0.8336,                0.80303,                0.85503,                0.65826,                0.80952,                0.71205,                 1.2329,               0.000595,               0.000595,               0.000595
                     97,                0.65934,                0.47971,                 1.1109,                0.83297,                 0.8025,                0.85474,                0.65846,                0.80925,                0.71136,                 1.2327,               0.000496,               0.000496,               0.000496
                     98,                 0.6498,                0.47469,                 1.1134,                0.83288,                0.80282,                0.85505,                0.65789,                0.80896,                0.71131,                 1.2325,               0.000397,               0.000397,               0.000397
                     99,                0.65503,                 0.4792,                 1.1154,                0.83167,                0.80333,                0.85511,                0.65829,                 0.8085,                0.71053,                 1.2324,               0.000298,               0.000298,               0.000298
                    100,                0.64619,                0.45976,                 1.1104,                0.83589,                0.80129,                0.85446,                0.65813,                0.80857,                0.71015,                 1.2329,               0.000199,               0.000199,               0.000199
